beat_index,peak_sample_360hz,label,prob_N,prob_V,prob_a
1,230,N,0.5887275293401633,0.3426239940168229,0.06864847664301381
2,374,N,0.9107514004714231,0.066830560811331,0.02241803871724588
3,523,V,0.043287002516449034,0.956276242671174,0.0004367548123770716
4,671,N,0.45348159623787887,0.2558762642225308,0.2906421395395903
5,815,V,0.3000301198447846,0.698755147141279,0.0012147330139364112
6,960,V,0.19185535467421908,0.8077671141468865,0.0003775311788943979
7,1107,V,0.2629719350912667,0.7355108016488696,0.0015172632598636645
8,1252,V,0.20678188159879587,0.7778420002508782,0.015376118150325878
9,1401,N,0.8318857135445726,0.14580722992085987,0.022307056534567504
10,1551,N,0.777967916356205,0.19704696844926234,0.024985115194532708
11,1698,N,0.7966418212118863,0.1359152959296169,0.06744288285849676
12,1842,N,0.7422474284195621,0.2548876065828378,0.0028649649976001234
13,1984,N,0.7036134934940521,0.28947556246327466,0.006910944042673222
14,2125,V,0.3465037147516562,0.6532303563928125,0.00026592885553119625
15,2266,N,0.8216767299100104,0.1742852398820733,0.00403803020791642
16,2404,N,0.7116103908142787,0.28833818376674464,5.142541897670391e-05
17,2545,N,0.6571615580904359,0.33863315372170494,0.004205288187859266
18,2688,N,0.9300218982303359,0.05956829419366671,0.010409807575997566
19,2832,N,0.5966304990468057,0.3083663231789355,0.0950031777742589
20,2975,N,0.6678652403757905,0.3299912913216279,0.0021434683025816667
21,3119,N,0.8086653556295325,0.1800579530538216,0.011276691316645916
22,3267,N,0.8358148441331854,0.1382247362182808,0.02596041964853376
23,3415,N,0.7043160236084861,0.24376302935182623,0.05192094703968768
24,3559,V,0.32884391856617634,0.6626501843004781,0.008505897133345658
25,3706,V,0.47699992914592015,0.48729747534854245,0.03570259550553748
